====================================================================
MOLS L3 Search  — is N(10) ≥ 3?
strategy    : adaptive
  [resume] sa_ct_227 ct=2
  [resume] sa_ct_228 ct=2
  [resume] mdecomp_227 ct=2
  [resume] mdecomp_229 ct=2
  [resume] mdecomp_233 ct=2
  [resume] sa_ct_230 ct=2
  [resume] mdecomp_235 ct=2
  [resume] sa_ct_236 ct=2
  [resume] sa_ct_231 ct=2
  [resume] sa_ct_237 ct=2
  [resume] mdecomp_242 ct=2
  [resume] mdecomp_243 ct=2
  [resume] mdecomp_244 ct=2
  [resume] sa_ct_244 ct=2
  [resume] sa_ct_245 ct=2
  [resume] ic5_tv_21_2 ct=2
  [resume] sa_ct_246 ct=2
  [resume] sa_ct_248 ct=2
  [resume] sa_ct_247 ct=2
  [resume] tv_254 ct=2
  [resume] mdecomp_250 ct=2
  [resume] mdecomp_251 ct=2
  [resume] sa_ct_252 ct=2
  [resume] mdecomp_258 ct=2
  [resume] mdecomp_259 ct=2
  [resume] mdecomp_260 ct=2
  [resume] sa_ct_254 ct=2
  [resume] mdecomp_261 ct=2
  [resume] sa_ct_261 ct=2
  [resume] sa_ct_262 ct=2
  [resume] sa_ct_263 ct=2
  [resume] sa_ct_264 ct=2
  [resume] mdecomp_273 ct=2
  [resume] mdecomp_274 ct=2
  [resume] mdecomp_275 ct=2
  [resume] mdecomp_276 ct=2
  [resume] sa_ct_276 ct=2
  [resume] sa_ct_277 ct=2
  [resume] sa_ct_278 ct=2
  [resume] sa_ct_274 ct=2
  [resume] sa_ct_275 ct=2
  [resume] mdecomp_277 ct=2
  [resume] mdecomp_287 ct=2
  [resume] mdecomp_288 ct=2
  [resume] mdecomp_289 ct=2
  [resume] sa_ct_290 ct=2
  [resume] sa_ct_289 ct=2
  [resume] sa_ct_292 ct=2
  [resume] mdecomp_279 ct=2
  [resume] mdecomp_281 ct=2
  [resume] sa_ct_282 ct=2
  [resume] mdecomp_283 ct=2
  [resume] mdecomp_285 ct=2
  [resume] sa_ct_286 ct=2
  [resume] sa_ct_287 ct=2
  [resume] mdecomp_291 ct=2
  [resume] mdecomp_292 ct=2
  [resume] sa_ct_293 ct=2
  [resume] sa_ct_295 ct=2
  [resume] mdecomp_294 ct=2
  [resume] mdecomp_296 ct=2
  [resume] sa_ct_298 ct=2
  [resume] tv_10 ct=1
  [resume] ic2_tv_10_0 ct=1
  [resume] ic3_tv_10_0 ct=1
  [resume] ic5_tv_10_0 ct=1
  [resume] ic8_tv_10_0 ct=1
  [resume] ic1_3_tv_10 ct=1
  [resume] ic1_5_tv_10 ct=1
  [resume] ic5_tv_10_1 ct=1
  [resume] iso_tv_10_0 ct=1
  [resume] iso_tv_10_1 ct=1
  [resume] iso_tv_10_2 ct=1
  [resume] tv_29 ct=1
  [resume] tv_32 ct=1
  [resume] tv_35 ct=1
  [resume] tv_37 ct=1
  [resume] mdecomp_39 ct=1
  [resume] mdecomp_45 ct=1
  [resume] tv_42 ct=1
  [resume] tv_43 ct=1
  [resume] tv_51 ct=1
  [resume] tv_58 ct=1
  [resume] tv_64 ct=1
  [resume] tv_70 ct=1
  [resume] tv_83 ct=1
  [resume] tv_96 ct=1
  [resume] tv_99 ct=1
  [resume] tv_105 ct=1
  [resume] tv_120 ct=1
  [resume] tv_125 ct=1
  [resume] tv_147 ct=1
  [resume] tv_141 ct=1
  [resume] tv_161 ct=1
  [resume] tv_171 ct=1
  [resume] tv_169 ct=1
  [resume] tv_190 ct=1
  [resume] tv_200 ct=1
  [resume] tv_215 ct=1
  [resume] tv_218 ct=1
  [resume] tv_225 ct=1
  [resume] tv_227 ct=1
  [resume] tv_222 ct=1
  [resume] tv_223 ct=1
  [resume] tv_230 ct=1
  [resume] tv_238 ct=1
  [resume] tv_245 ct=1
  [resume] tv_239 ct=1
  [resume] tv_262 ct=1
  [resume] tv_270 ct=1
  [resume] tv_280 ct=1
  [resume] tv_284 ct=1
  [resume] tv_296 ct=1
  [resume] tv_293 ct=1
Pool: 296 pairs.  Best CT count: 2


trial=   1  strategy=sa_triple_pt  budget=54s  best_ct_ever=2
  ★ Triple near-miss saved: clashes=52  cl12=0
  ★ Triple near-miss saved: clashes=51  cl12=0
  ★ Triple near-miss saved: clashes=50  cl12=0
  ★ Triple near-miss saved: clashes=49  cl12=0
  ★ Triple near-miss saved: clashes=48  cl12=0
  ★ Triple near-miss saved: clashes=47  cl12=0
  sa_triple_pt: best_clashes=47  sa_frontier=47  swaps=1052  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21

  Progress: trials=1  elapsed=0.02h  pool_size=296  best_ct_ever=2  sa3_best_clashes=47  N(10)≥3 not found yet

trial=   2  strategy=sa_triple_pt  budget=54s  best_ct_ever=2
  sa_triple_pt: best_clashes=37  sa_frontier=37  swaps=1015  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21

  Progress: trials=2  elapsed=0.03h  pool_size=296  best_ct_ever=2  sa3_best_clashes=37  N(10)≥3 not found yet

trial=   3  strategy=sa_triple_pt  budget=54s  best_ct_ever=2
  ★ Triple near-miss saved: clashes=36  cl12=0
  ★ Triple near-miss saved: clashes=34  cl12=0
  ★ Triple near-miss saved: clashes=32  cl12=0
  ★ Triple near-miss saved: clashes=28  cl12=0
  ★ Triple near-miss saved: clashes=26  cl12=0
  sa_triple_pt: best_clashes=26  sa_frontier=26  swaps=965  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21

  Progress: trials=3  elapsed=0.05h  pool_size=296  best_ct_ever=2  sa3_best_clashes=26  N(10)≥3 not found yet

trial=   4  strategy=sa_triple_pt  budget=54s  best_ct_ever=2
  sa_triple_pt: best_clashes=28  sa_frontier=26  swaps=956  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21

  Progress: trials=4  elapsed=0.06h  pool_size=296  best_ct_ever=2  sa3_best_clashes=26  N(10)≥3 not found yet

trial=   5  strategy=sa_triple_pt  budget=54s  best_ct_ever=2
  sa_triple_pt: best_clashes=32  sa_frontier=26  swaps=942  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21

  Progress: trials=5  elapsed=0.08h  pool_size=296  best_ct_ever=2  sa3_best_clashes=26  N(10)≥3 not found yet

trial=   6  strategy=sa_triple  budget=54s  best_ct_ever=2
  ★ Triple near-miss saved: clashes=52  cl12=0
  ★ Triple near-miss saved: clashes=50  cl12=0
  ★ Triple near-miss saved: clashes=48  cl12=0
  ★ Triple near-miss saved: clashes=46  cl12=0
  ★ Triple near-miss saved: clashes=44  cl12=0
  ★ Triple near-miss saved: clashes=28  cl12=0
  sa_triple: best_clashes=28  sa_frontier=26  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21
  [checkpoint] Saved 291 promising pairs to disk (best ct=2)

  Progress: trials=6  elapsed=0.09h  pool_size=296  best_ct_ever=2  sa3_best_clashes=26  N(10)≥3 not found yet

trial=   7  strategy=sa_triple  budget=54s  best_ct_ever=2
  ★ Triple near-miss saved: clashes=50  cl12=0
  ★ Triple near-miss saved: clashes=48  cl12=0
  ★ Triple near-miss saved: clashes=46  cl12=0
  ★ Triple near-miss saved: clashes=44  cl12=0
  ★ Triple near-miss saved: clashes=40  cl12=0
  ★ Triple near-miss saved: clashes=38  cl12=0
  ★ Triple near-miss saved: clashes=36  cl12=0
  ★ Triple near-miss saved: clashes=34  cl12=0
  ★ Triple near-miss saved: clashes=26  cl12=0
  sa_triple: best_clashes=26  sa_frontier=26  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21

  Progress: trials=7  elapsed=0.11h  pool_size=296  best_ct_ever=2  sa3_best_clashes=26  N(10)≥3 not found yet

trial=   8  strategy=multi_decomp  budget=42s  n_attempts=10  best_ct_ever=2
    [mdecomp] New best CT=2 (pairs_tried=1)
  multi_decomp: best_ct=2  pairs_tried=6  elapsed=40.4s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21

  Progress: trials=8  elapsed=0.12h  pool_size=296  best_ct_ever=2  sa3_best_clashes=26  N(10)≥3 not found yet

trial=   9  strategy=sa_ct_climb  budget=42s  best_ct_ever=2  warm=yes ct=2
  sa_ct_climb: best_ct=2  steps=2005093  elapsed=42.0s  
  [sa_ct_296] ct=2  max_dis=2  src=sa_ct

  ct=2 (0<ct<10): injecting intercalate variants of tv_21
  [tv_297] ct=0  max_dis=0  src=tv

  Progress: trials=9  elapsed=0.13h  pool_size=298  best_ct_ever=2  sa3_best_clashes=26  N(10)≥3 not found yet

trial=  10  strategy=sa_triple_pt  budget=54s  best_ct_ever=2
  sa_triple_pt: best_clashes=26  sa_frontier=26  swaps=930  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21

  Progress: trials=10  elapsed=0.15h  pool_size=298  best_ct_ever=2  sa3_best_clashes=26  N(10)≥3 not found yet

trial=  11  strategy=sa_triple_pt  budget=54s  best_ct_ever=2
  sa_triple_pt: best_clashes=26  sa_frontier=26  swaps=913  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21

  Progress: trials=11  elapsed=0.16h  pool_size=298  best_ct_ever=2  sa3_best_clashes=26  N(10)≥3 not found yet

trial=  12  strategy=sa_triple_pt  budget=54s  best_ct_ever=2
  sa_triple_pt: best_clashes=36  sa_frontier=26  swaps=964  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21
  [tv_298] ct=0  max_dis=0  src=tv
  [checkpoint] Saved 292 promising pairs to disk (best ct=2)

  Progress: trials=12  elapsed=0.18h  pool_size=299  best_ct_ever=2  sa3_best_clashes=26  N(10)≥3 not found yet

trial=  13  strategy=sa_triple_pt  budget=54s  best_ct_ever=2
  sa_triple_pt: best_clashes=22  sa_frontier=22  swaps=928  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21

  Progress: trials=13  elapsed=0.19h  pool_size=299  best_ct_ever=2  sa3_best_clashes=22  N(10)≥3 not found yet

trial=  14  strategy=sa_triple_pt  budget=54s  best_ct_ever=2
  sa_triple_pt: best_clashes=22  sa_frontier=22  swaps=945  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21

  Progress: trials=14  elapsed=0.21h  pool_size=299  best_ct_ever=2  sa3_best_clashes=22  N(10)≥3 not found yet

trial=  15  strategy=sa_triple_pt  budget=54s  best_ct_ever=2
  sa_triple_pt: best_clashes=22  sa_frontier=22  swaps=935  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21
  [tv_299] ct=0  max_dis=0  src=tv

  Progress: trials=15  elapsed=0.23h  pool_size=300  best_ct_ever=2  sa3_best_clashes=22  N(10)≥3 not found yet

trial=  16  strategy=sa_triple  budget=54s  best_ct_ever=2
  ★ Triple near-miss saved: clashes=52  cl12=0
  ★ Triple near-miss saved: clashes=48  cl12=0
  ★ Triple near-miss saved: clashes=46  cl12=0
  ★ Triple near-miss saved: clashes=44  cl12=0
  ★ Triple near-miss saved: clashes=42  cl12=0
  ★ Triple near-miss saved: clashes=40  cl12=0
  sa_triple: best_clashes=40  sa_frontier=22  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21

  Progress: trials=16  elapsed=0.24h  pool_size=300  best_ct_ever=2  sa3_best_clashes=22  N(10)≥3 not found yet

trial=  17  strategy=sa_triple  budget=54s  best_ct_ever=2
  ★ Triple near-miss saved: clashes=28  cl12=0
  sa_triple: best_clashes=28  sa_frontier=22  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21

  Progress: trials=17  elapsed=0.26h  pool_size=300  best_ct_ever=2  sa3_best_clashes=22  N(10)≥3 not found yet

trial=  18  strategy=multi_decomp  budget=42s  n_attempts=10  best_ct_ever=2
    [mdecomp] New best CT=2 (pairs_tried=1)
  multi_decomp: best_ct=2  pairs_tried=5  elapsed=39.7s
  [mdecomp_300] ct=2  max_dis=2  src=mdecomp

  ct=2 (0<ct<10): injecting intercalate variants of tv_21
  [tv_301] ct=0  max_dis=0  src=tv
  [checkpoint] Saved 293 promising pairs to disk (best ct=2)

  Progress: trials=18  elapsed=0.27h  pool_size=302  best_ct_ever=2  sa3_best_clashes=22  N(10)≥3 not found yet

trial=  19  strategy=sa_ct_climb  budget=42s  best_ct_ever=2  warm=yes ct=2
  sa_ct_climb: best_ct=2  steps=1920024  elapsed=42.2s  
  [sa_ct_302] ct=2  max_dis=2  src=sa_ct

  ct=2 (0<ct<10): injecting intercalate variants of tv_21

  Progress: trials=19  elapsed=0.28h  pool_size=303  best_ct_ever=2  sa3_best_clashes=22  N(10)≥3 not found yet

trial=  20  strategy=sa_triple_pt  budget=54s  best_ct_ever=2
  sa_triple_pt: best_clashes=22  sa_frontier=22  swaps=945  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21

  Progress: trials=20  elapsed=0.30h  pool_size=303  best_ct_ever=2  sa3_best_clashes=22  N(10)≥3 not found yet

trial=  21  strategy=sa_triple_pt  budget=54s  best_ct_ever=2
  sa_triple_pt: best_clashes=22  sa_frontier=22  swaps=916  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21
  [tv_303] ct=0  max_dis=0  src=tv

  Progress: trials=21  elapsed=0.31h  pool_size=304  best_ct_ever=2  sa3_best_clashes=22  N(10)≥3 not found yet

trial=  22  strategy=sa_triple_pt  budget=54s  best_ct_ever=2
  sa_triple_pt: best_clashes=22  sa_frontier=22  swaps=1004  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21

  Progress: trials=22  elapsed=0.33h  pool_size=304  best_ct_ever=2  sa3_best_clashes=22  N(10)≥3 not found yet

trial=  23  strategy=sa_triple_pt  budget=54s  best_ct_ever=2
  ★ Triple near-miss saved: clashes=52  cl12=0
  ★ Triple near-miss saved: clashes=50  cl12=0
  ★ Triple near-miss saved: clashes=48  cl12=0
  ★ Triple near-miss saved: clashes=46  cl12=0
  ★ Triple near-miss saved: clashes=44  cl12=0
  ★ Triple near-miss saved: clashes=42  cl12=0
  ★ Triple near-miss saved: clashes=40  cl12=0
  ★ Triple near-miss saved: clashes=38  cl12=0
  ★ Triple near-miss saved: clashes=36  cl12=0
  ★ Triple near-miss saved: clashes=32  cl12=0
  ★ Triple near-miss saved: clashes=28  cl12=0
  ★ Triple near-miss saved: clashes=26  cl12=0
  ★ Triple near-miss saved: clashes=24  cl12=0
  ★ Triple near-miss saved: clashes=22  cl12=0
  sa_triple_pt: best_clashes=22  sa_frontier=22  swaps=947  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21

  Progress: trials=23  elapsed=0.34h  pool_size=304  best_ct_ever=2  sa3_best_clashes=22  N(10)≥3 not found yet

trial=  24  strategy=sa_triple_pt  budget=54s  best_ct_ever=2
  sa_triple_pt: best_clashes=22  sa_frontier=22  swaps=937  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21
  [tv_304] ct=1  max_dis=1  src=tv
  ★ Saved promising pair tv_304 (ct=1) → promising_pairs.json
  [checkpoint] Saved 296 promising pairs to disk (best ct=2)

  Progress: trials=24  elapsed=0.36h  pool_size=305  best_ct_ever=2  sa3_best_clashes=22  N(10)≥3 not found yet

trial=  25  strategy=sa_triple_pt  budget=54s  best_ct_ever=2
  sa_triple_pt: best_clashes=22  sa_frontier=22  swaps=970  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21

  Progress: trials=25  elapsed=0.38h  pool_size=305  best_ct_ever=2  sa3_best_clashes=22  N(10)≥3 not found yet

trial=  26  strategy=sa_triple  budget=54s  best_ct_ever=2
  sa_triple: best_clashes=22  sa_frontier=22  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21

  Progress: trials=26  elapsed=0.39h  pool_size=305  best_ct_ever=2  sa3_best_clashes=22  N(10)≥3 not found yet

trial=  27  strategy=sa_triple  budget=54s  best_ct_ever=2
  ★ Triple near-miss saved: clashes=30  cl12=0
  sa_triple: best_clashes=30  sa_frontier=22  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21
  [tv_305] ct=0  max_dis=0  src=tv

  Progress: trials=27  elapsed=0.41h  pool_size=306  best_ct_ever=2  sa3_best_clashes=22  N(10)≥3 not found yet

trial=  28  strategy=multi_decomp  budget=42s  n_attempts=10  best_ct_ever=2
    [mdecomp] New best CT=2 (pairs_tried=1)
  multi_decomp: best_ct=2  pairs_tried=8  elapsed=39.7s
  [mdecomp_306] ct=2  max_dis=2  src=mdecomp

  ct=2 (0<ct<10): injecting intercalate variants of tv_21

  Progress: trials=28  elapsed=0.42h  pool_size=307  best_ct_ever=2  sa3_best_clashes=22  N(10)≥3 not found yet

trial=  29  strategy=sa_ct_climb  budget=42s  best_ct_ever=2  warm=yes ct=2
  sa_ct_climb: best_ct=2  steps=2240028  elapsed=52.7s  
  [sa_ct_307] ct=2  max_dis=2  src=sa_ct

  ct=2 (0<ct<10): injecting intercalate variants of tv_21

  Progress: trials=29  elapsed=0.43h  pool_size=308  best_ct_ever=2  sa3_best_clashes=22  N(10)≥3 not found yet

trial=  30  strategy=sa_triple_pt  budget=54s  best_ct_ever=2
  ★ Triple near-miss saved: clashes=44  cl12=0
  ★ Triple near-miss saved: clashes=42  cl12=0
  ★ Triple near-miss saved: clashes=40  cl12=0
  ★ Triple near-miss saved: clashes=38  cl12=0
  ★ Triple near-miss saved: clashes=36  cl12=0
  ★ Triple near-miss saved: clashes=34  cl12=0
  ★ Triple near-miss saved: clashes=30  cl12=0
  ★ Triple near-miss saved: clashes=28  cl12=0
  ★ Triple near-miss saved: clashes=26  cl12=0
  ★ Triple near-miss saved: clashes=24  cl12=0
  sa_triple_pt: best_clashes=24  sa_frontier=22  swaps=929  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21
  [tv_308] ct=0  max_dis=0  src=tv
  [checkpoint] Saved 298 promising pairs to disk (best ct=2)

  Progress: trials=30  elapsed=0.45h  pool_size=309  best_ct_ever=2  sa3_best_clashes=22  N(10)≥3 not found yet

trial=  31  strategy=sa_triple_pt  budget=54s  best_ct_ever=2
  sa_triple_pt: best_clashes=22  sa_frontier=22  swaps=930  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21

  Progress: trials=31  elapsed=0.46h  pool_size=309  best_ct_ever=2  sa3_best_clashes=22  N(10)≥3 not found yet

trial=  32  strategy=sa_triple_pt  budget=54s  best_ct_ever=2
  sa_triple_pt: best_clashes=22  sa_frontier=22  swaps=921  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21

  Progress: trials=32  elapsed=0.48h  pool_size=309  best_ct_ever=2  sa3_best_clashes=22  N(10)≥3 not found yet

trial=  33  strategy=sa_triple_pt  budget=54s  best_ct_ever=2
  ★ Triple near-miss saved: clashes=52  cl12=28
  ★ Triple near-miss saved: clashes=50  cl12=24
  ★ Triple near-miss saved: clashes=47  cl12=23
  ★ Triple near-miss saved: clashes=46  cl12=26
  ★ Triple near-miss saved: clashes=44  cl12=24
  ★ Triple near-miss saved: clashes=43  cl12=19
  ★ Triple near-miss saved: clashes=41  cl12=19
  ★ Triple near-miss saved: clashes=40  cl12=20
  sa_triple_pt: best_clashes=40  sa_frontier=22  swaps=1005  best_ct_seen=0  elapsed=54.0s

  ct=2 (0<ct<10): injecting intercalate variants of tv_21
  [tv_309] ct=0  max_dis=0  src=tv

  Progress: trials=33  elapsed=0.49h  pool_size=310  best_ct_ever=2  sa3_best_clashes=22  N(10)≥3 not found yet

trial=  34  strategy=sa_triple_pt  budget=54s  best_ct_ever=2
  ★ Triple near-miss saved: clashes=52  cl12=4
  ★ Triple near-miss saved: clashes=50  cl12=4
  ★ Triple near-miss saved: clashes=49  cl12=4
  ★ Triple near-miss saved: clashes=48  cl12=28
  ★ Triple near-miss saved: clashes=47  cl12=29
  ★ Triple near-miss saved: clashes=43  cl12=23
  ★ Triple near-miss saved: clashes=22  cl12=0
